2025-12-18 14:22:43 install sed:amd64 <none> 4.9-2
2025-12-18 14:22:43 status half-installed sed:amd64 4.9-2
2025-12-18 14:22:43 status unpacked sed:amd64 4.9-2
2025-12-18 14:22:43 install sqv:amd64 <none> 1.3.0-3
2025-12-18 14:22:43 status half-installed sqv:amd64 1.3.0-3
2025-12-18 14:22:43 status unpacked sqv:amd64 1.3.0-3
2025-12-18 14:22:43 install sysvinit-utils:amd64 <none> 3.14-4
2025-12-18 14:22:43 status half-installed sysvinit-utils:amd64 3.14-4
2025-12-18 14:22:43 status unpacked sysvinit-utils:amd64 3.14-4
2025-12-18 14:22:43 install tar:amd64 <none> 1.35+dfsg-3.1
2025-12-18 14:22:43 status half-installed tar:amd64 1.35+dfsg-3.1
2025-12-18 14:22:43 status unpacked tar:amd64 1.35+dfsg-3.1
2025-12-18 14:22:43 install tzdata:all <none> 2025b-4+deb13u1
2025-12-18 14:22:43 status half-installed tzdata:all 2025b-4+deb13u1
2025-12-18 14:22:43 status unpacked tzdata:all 2025b-4+deb13u1
2025-12-18 14:22:43 install usr-is-merged:all <none> 39+nmu2
2025-12-18 14:22:43 status half-installed usr-is-merged:all 39+nmu2
2025-12-18 14:22:43 status unpacked usr-is-merged:all 39+nmu2
2025-12-18 14:22:43 install util-linux:amd64 <none> 2.41-5
2025-12-18 14:22:43 status half-installed util-linux:amd64 2.41-5
2025-12-18 14:22:43 status unpacked util-linux:amd64 2.41-5
2025-12-18 14:22:43 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2025-12-18 14:22:43 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-12-18 14:22:43 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-12-18 14:22:43 startup packages configure
2025-12-18 14:22:43 configure gcc-14-base:amd64 14.2.0-19 <none>
2025-12-18 14:22:43 status unpacked gcc-14-base:amd64 14.2.0-19
2025-12-18 14:22:43 status half-configured gcc-14-base:amd64 14.2.0-19
2025-12-18 14:22:43 status installed gcc-14-base:amd64 14.2.0-19
2025-12-18 14:22:43 configure login.defs:all 1:4.17.4-2 <none>
2025-12-18 14:22:43 status unpacked login.defs:all 1:4.17.4-2
2025-12-18 14:22:43 status half-configured login.defs:all 1:4.17.4-2
2025-12-18 14:22:43 status installed login.defs:all 1:4.17.4-2
2025-12-18 14:22:43 configure debian-archive-keyring:all 2025.1 <none>
2025-12-18 14:22:43 status unpacked debian-archive-keyring:all 2025.1
2025-12-18 14:22:44 status half-configured debian-archive-keyring:all 2025.1
2025-12-18 14:22:44 status installed debian-archive-keyring:all 2025.1
2025-12-18 14:22:44 configure usr-is-merged:all 39+nmu2 <none>
2025-12-18 14:22:44 status unpacked usr-is-merged:all 39+nmu2
2025-12-18 14:22:44 status half-configured usr-is-merged:all 39+nmu2
2025-12-18 14:22:44 status installed usr-is-merged:all 39+nmu2
2025-12-18 14:22:44 configure libaudit-common:all 1:4.0.2-2 <none>
2025-12-18 14:22:44 status unpacked libaudit-common:all 1:4.0.2-2
2025-12-18 14:22:44 status half-configured libaudit-common:all 1:4.0.2-2
2025-12-18 14:22:44 status installed libaudit-common:all 1:4.0.2-2
2025-12-18 14:22:44 configure libsemanage-common:all 3.8.1-1 <none>
2025-12-18 14:22:44 status unpacked libsemanage-common:all 3.8.1-1
2025-12-18 14:22:44 status half-configured libsemanage-common:all 3.8.1-1
2025-12-18 14:22:44 status installed libsemanage-common:all 3.8.1-1
2025-12-18 14:22:44 configure debconf:all 1.5.91 <none>
2025-12-18 14:22:44 status unpacked debconf:all 1.5.91
2025-12-18 14:22:44 status half-configured debconf:all 1.5.91
2025-12-18 14:22:44 status installed debconf:all 1.5.91
2025-12-18 14:22:44 configure tzdata:all 2025b-4+deb13u1 <none>
2025-12-18 14:22:44 status unpacked tzdata:all 2025b-4+deb13u1
2025-12-18 14:22:44 status half-configured tzdata:all 2025b-4+deb13u1
2025-12-18 14:22:44 status installed tzdata:all 2025b-4+deb13u1
2025-12-18 14:22:44 configure ncurses-base:all 6.5+20250216-2 <none>
2025-12-18 14:22:44 status unpacked ncurses-base:all 6.5+20250216-2
2025-12-18 14:22:44 status half-configured ncurses-base:all 6.5+20250216-2
2025-12-18 14:22:44 status installed ncurses-base:all 6.5+20250216-2
2025-12-18 14:22:44 configure init-system-helpers:all 1.69~deb13u1 <none>
